Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Manhattan,MN02,9.000000000000000,2016.000000000000000,March,76.401097575102895,38.907861503741799,74.567986723774894,458.044052814672057
Manhattan,MN03,9.000000000000000,2016.000000000000000,March,59.024197402617794,42.576902788548097,42.719383282788101,395.354185955101059
Manhattan,MN04,9.000000000000000,2016.000000000000000,March,72.709703903606879,32.455206326433995,73.103604898297391,394.602496289181090
Manhattan,MN05,9.000000000000000,2016.000000000000000,March,69.804971646437195,31.349024047926900,56.487732704147092,354.178444335133008
Manhattan,MN06,9.000000000000000,2016.000000000000000,March,74.966668797636800,34.101512180760004,69.889469537621991,442.347773950813064
Manhattan,MN07,9.000000000000000,2016.000000000000000,March,76.915129718477303,42.737164995153897,73.735698907776907,462.591826851644043
Manhattan,MN08,9.000000000000000,2016.000000000000000,March,77.183371779558698,42.948510257509696,72.361510959164505,474.767996261058045
Manhattan,MN09,9.000000000000000,2016.000000000000000,March,63.560177772121399,55.640847920950407,44.707404122543799,457.388367577372037
Manhattan,MN10,9.000000000000000,2016.000000000000000,March,56.049433012228903,38.555841355685601,51.188773608787997,348.625926116900985
Manhattan,MN11,9.000000000000000,2016.000000000000000,March,51.825012939624500,40.956716499287701,32.707005525353701,306.201196202368976
Manhattan,MN12,9.000000000000000,2016.000000000000000,March,61.614298309152694,42.597681212414905,57.017944844957206,433.501031679948085
Queens East,QE07,9.000000000000000,2016.000000000000000,March,68.240973963816487,44.676613794674097,62.148822218538299,491.806781048747041
Queens East,QE08,9.000000000000000,2016.000000000000000,March,64.696065577204891,28.946878322687898,52.154630596757301,335.605829097331991
Queens East,QE10,9.000000000000000,2016.000000000000000,March,69.277741049364494,34.636097685747899,77.933345443437005,449.640253390203100
